strategy,selected_count,selected_rate,observed_churn_rate_in_selected,mean_predicted_risk_in_selected,expected_avoided_loss,intervention_cost,expected_net_benefit,min_selected_net,assumption
不干预,0,0.0,,,0.0,0.0,0.0,,p为关联风险；q为将要流失客户的平均条件成功率，不是个体uplift
全员干预,7043,1.0,0.2653698707936959,0.26535701762626274,1308236.6325992378,1056450.0,251786.63259923784,-149.12275769219318,p为关联风险；q为将要流失客户的平均条件成功率，不是个体uplift
经济阈值 p≥0.2143,3281,0.46585261962232005,0.48186528497409326,0.4878430092166075,1120429.0392677826,492150.0,628279.0392677826,0.09947018815714159,p为关联风险；q为将要流失客户的平均条件成功率，不是个体uplift
风险排序前 1%,70,0.009938946471674003,0.8428571428571429,0.8088730629529187,39634.780084693,10500.0,29134.780084692997,400.37004616735794,p为关联风险；q为将要流失客户的平均条件成功率，不是个体uplift
风险排序前 5%,352,0.0499787022575607,0.8096590909090909,0.7605987587777746,187411.53416284366,52800.0,134611.53416284366,352.65099226096146,p为关联风险；q为将要流失客户的平均条件成功率，不是个体uplift
风险排序前 10%,704,0.0999574045151214,0.7585227272727273,0.7233404443684559,356462.17098477506,105600.0,250862.17098477506,306.7985260191438,p为关联风险；q为将要流失客户的平均条件成功率，不是个体uplift
风险排序前 20%,1408,0.1999148090302428,0.6754261363636364,0.6577671841256266,648295.3366742176,211200.0,437095.3366742176,220.47462330349316,p为关联风险；q为将要流失客户的平均条件成功率，不是个体uplift
风险排序前 30%,2112,0.2998722135453642,0.5890151515151515,0.5924430085377136,875867.7438221558,316800.0,559067.7438221558,129.71987488280286,p为关联风险；q为将要流失客户的平均条件成功率，不是个体uplift
