bin,n,predicted_rate,observed_rate
1,705,0.005330448306765902,0.01276595744680851
2,704,0.01877985104736037,0.024147727272727272
3,704,0.04534522283928748,0.041193181818181816
4,704,0.08793040857378918,0.09943181818181818
5,705,0.15374177295679428,0.15460992907801419
6,704,0.23119959722203506,0.2315340909090909
7,704,0.3337735305649586,0.3224431818181818
8,704,0.4630240460591288,0.42045454545454547
9,704,0.592905954397426,0.5880681818181818
10,705,0.7244377856653993,0.7588652482269503
