strategy,selected_count,selected_rate,observed_churn_rate_in_selected,expected_avoided_loss,intervention_cost,expected_net_benefit,assumption
不干预,0,0.0,,0.0,0.0,0.0,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift
全员干预,7043,1.0,0.2653698707936959,1309726.1917743655,1056450.0,253276.1917743655,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift
期望净收益阈值 p≥0.2143,3286,0.46656254437029676,0.48234936092513697,1123084.6276786425,492900.0,630184.6276786425,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift
风险排序前 1%,70,0.009938946471674003,0.8571428571428571,39711.86911162246,10500.0,29211.869111622458,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift
风险排序前 5%,352,0.0499787022575607,0.8125,187597.36924315887,52800.0,134797.36924315887,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift
风险排序前 10%,704,0.0999574045151214,0.7599431818181818,357051.4435856544,105600.0,251451.44358565437,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift
风险排序前 20%,1408,0.1999148090302428,0.6740056818181818,649322.144714066,211200.0,438122.14471406594,p 为关联性风险；success 为对将要流失客户的平均条件成功率，非个体 uplift
